Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
SJLIC,Life Insurance,"50,119,477.97",462.00,-0.3 %,2026/03/12 02:59:57,489.90-390.00,443.81,451.54,0.87%,"8.06                                                                    (FY:082-083, Q:2)",57.32,123.33,3.75,13.00                                                                    (FY:081-082),4.10,0.2793,0.0673,0.1733
GBBL,Development Bank Limited,"60,213,483.67",420.50,0.12 %,2026/03/12 02:59:49,498.00-367.40,395.27,390.25,1.91%,"21.10                                                                    (FY:082-083, Q:2)",19.93,159.59,2.63,4.53                                                                    (FY:081-082),6.38,0.5934,0.1162,0.3548
JBBL,Development Bank Limited,"43,957,858.86",356.00,2.59 %,2026/03/12 02:59:58,413.00-295.00,327.94,331.05,-3.23%,"14.16                                                                    (FY:082-083, Q:2)",25.14,155.09,2.30,,8.56,0.4831,0.1188,0.3009
CORBL,Development Bank Limited,"5,250,000.00","1,647.00",-0.07 %,2026/03/12 02:59:58,"2,800.00-1,431.00","1,715.14","1,679.57",-13.72%,"4.93                                                                    (FY:082-083, Q:2)",334.08,135.79,12.13,,0,0,0,0.0000
KSBBL,Development Bank Limited,"38,619,308.15",488.00,0.83 %,2026/03/12 02:59:59,588.00-404.10,446.60,448.09,5.63%,"20.43                                                                    (FY:082-083, Q:2)",23.89,158.07,3.09,5.79                                                                    (FY:081-082),9.27,0.5438,0.0982,0.3210
MPFL,Finance,"6,102,000.00",691.00,2.83 %,2026/03/12 02:59:59,713.00-491.00,586.57,604.84,3.61%,"2.57                                                                    (FY:082-083, Q:2)",268.87,118.58,5.83,,17.80,0.0991,0.0373,0.0682
SADBL,Development Bank Limited,"37,340,685.06",441.00,3.13 %,2026/03/12 02:59:54,526.50-376.00,405.60,406.96,1.52%,"16.21                                                                    (FY:082-083, Q:2)",27.21,153.24,2.88,5.36                                                                    (FY:081-082),8.73,0.5681,0.0988,0.3335
SHINE,Development Bank Limited,"50,219,727.30",425.70,1.84 %,2026/03/12 02:59:55,499.00-382.00,405.59,404.61,-1.91%,"16.10                                                                    (FY:082-083, Q:2)",26.44,146.60,2.90,10.00                                                                    (FY:081-082),4.96,0.6265,0.0992,0.3628
MNBBL,Development Bank Limited,"80,003,890.00",389.70,0.44 %,2026/03/12 02:59:54,503.00-340.10,370.86,357.85,2.55%,"16.80                                                                    (FY:082-083, Q:2)",23.20,151.35,2.57,4.67                                                                    (FY:081-082),5.08,0.6955,0.1123,0.4039
FMDBL,Microfinance,"13,448,713.23",830.00,1.1 %,2026/03/12 02:59:26,"1,038.80-718.00",812.67,807.91,3.36%,"10.47                                                                    (FY:082-083, Q:2)",79.27,128.31,6.47,6.50                                                                    (FY:081-082),2.13,0,0.0410,0.0205
MFIL,Finance,"13,515,528.49",854.00,3.26 %,2026/03/12 02:59:59,918.00-545.00,693.92,727.59,36.20%,"20.03                                                                    (FY:082-083, Q:2)",42.64,175.29,4.87,15.00                                                                    (FY:081-082),23.07,0.1716,0.0598,0.1157
NBL,Commercial Banks,"146,940,229.28",266.00,2.11 %,2026/03/12 02:59:59,313.00-225.40,244.35,243.61,4.72%,"17.76                                                                    (FY:082-083, Q:2)",14.98,262.43,1.01,10.00                                                                    (FY:078-079),8.86,0.5365,0.2514,0.3940
SLBBL,Microfinance,"8,956,336.30",864.00,0.34 %,2026/03/12 02:59:51,"1,155.00-780.00",864.78,864.31,-11.93%,"28.47                                                                    (FY:082-083, Q:2)",30.35,164.46,5.25,0.75                                                                    (FY:081-082),-0.09,0,0.0645,0.0323
NLG,Non-Life Insurance,"26,678,334.10",700.00,0.72 %,2026/03/12 02:59:14,976.20-655.00,695.37,688.21,-21.96%,"0.83                                                                    (FY:082-083, Q:2)",843.37,171.30,4.09,3.37                                                                    (FY:081-082),0.67,0.8599,0.0498,0.4548
SINDU,Development Bank Limited,"5,574,560.70",768.10,-1.4 %,2026/03/12 02:59:22,"1,247.00-608.00",737.69,747.95,-29.53%,"-5.55                                                                    (FY:082-083, Q:2)",-138.40,94.19,8.15,,4.12,0,0.0188,0.0094
SKBBL,Microfinance,"49,271,700.80",798.00,0.13 %,2026/03/12 02:59:31,999.00-752.00,826.66,811.81,-2.80%,"15.46                                                                    (FY:082-083, Q:2)",51.62,216.48,3.69,0.75                                                                    (FY:081-082),-3.47,0.8138,0.0697,0.4417
GBLBS,Microfinance,"10,053,500.00",804.00,0.5 %,2026/03/12 02:59:55,950.00-698.00,772.29,779.62,-5.30%,"43.75                                                                    (FY:082-083, Q:2)",18.38,278.07,2.89,,4.11,0.5794,0.1127,0.3461
RLFL,Finance,"11,214,520.00",478.00,1.06 %,2026/03/12 02:59:52,576.00-398.00,438.90,440.99,-13.41%,"0.31                                                                    (FY:082-083, Q:2)","1,541.94",112.03,4.27,,8.91,0.5506,0,0.2753
SHPC,Hydro Power,"37,379,937.10",558.70,0.13 %,2026/03/12 02:59:54,684.90-443.10,526.31,532.76,16.93%,"6.72                                                                    (FY:082-083, Q:2)",83.14,169.00,3.31,,6.15,0.5219,0.0700,0.2960
KMCDB,Microfinance,"4,484,615.35",958.50,0.87 %,2026/03/12 02:58:38,"1,223.00-893.00",999.81,997.51,-12.70%,"26.09                                                                    (FY:082-083, Q:2)",36.74,164.70,5.82,0.53                                                                    (FY:081-082),-4.13,0,0.0561,0.0280
MLBBL,Microfinance,"2,558,436.20","1,370.00",0.44 %,2026/03/12 02:59:50,"2,019.00-1,285.00","1,431.70","1,421.10",-17.62%,"41.33                                                                    (FY:082-083, Q:2)",33.15,208.23,6.58,0.75                                                                    (FY:081-082),0,0,0,0.0000
RIDI,Hydro Power,"23,233,518.00",350.00,-0.28 %,2026/03/12 02:59:57,369.00-203.50,243.68,249.70,51.52%,"3.25                                                                    (FY:082-083, Q:2)",107.69,101.62,3.44,,43.63,0.1148,0.0656,0.0902
LLBS,Microfinance,"4,416,621.00","1,005.00",1.21 %,2026/03/12 02:09:50,"1,300.50-865.00",970.63,974.21,-12.99%,"15.31                                                                    (FY:082-083, Q:2)",65.64,187.67,5.36,,0,0,0,0.0000
BARUN,Hydro Power,"11,225,324.30",375.00,1.63 %,2026/03/12 02:59:53,589.00-292.10,336.40,341.56,-28.84%,"3.87                                                                    (FY:082-083, Q:2)",96.90,112.81,3.32,0.25                                                                    (FY:081-082),11.47,0.7208,0.0685,0.3947
